Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native,Possibly Extinct,Regionally Extinct,Reintroduced,Introduced,Vagrant,Present origin uncertain
,CR,168141,Conturbatia crenata,GASTROPODA,unknown,,Seychelles: -4.67957 55.49198 ,,,,,
"Reunion Cuckooshrike, Common name not unicode, Common name not unicode ",CR,106005929,Coracina newtoni,AVES,decreasing,Name not unicode cant write ,,,,,,
"Guam Crow, Mariana Crow ",CR,106005766,Corvus kubaryi,AVES,decreasing,"Guam: 13.44430 144.79373, Northern Mariana Islands: 15.09790 145.67390 ",,,,,,
Banggai Crow ,CR,106005764,Corvus unicolor,AVES,decreasing,Indonesia: -0.78927 113.92133 ,,,,,,
"Blue-billed Curassow, Blue-knobbed Curassow ",CR,100600104,Crax alberti,AVES,decreasing,Colombia: 4.57087 -74.29733 ,,,,,,
Cuban Crocodile ,CR,5670,Crocodylus rhombifer,REPTILIA,no population data,Cuba: 21.52176 -77.78117 ,,,,,,
Siamese Crocodile ,CR,5671,Crocodylus siamensis,REPTILIA,decreasing,"Cambodia: 12.56568 104.99096, Indonesia: -0.78927 113.92133, Laos: 19.85627 102.49550, Thailand: 15.87003 100.99254 ",,,Vietnam: 14.05832 108.27720 ,,,
Santa Catalina Island Rattlesnake ,CR,64314,Crotalus catalinensis,REPTILIA,decreasing,Too many markers for Mexico ,,,,,,
Social Tuco-tuco ,CR,5826,Ctenomys sociabilis,MAMMALIA,decreasing,Argentina: -38.41610 -63.61667 ,,,,,,
"Baker's Spinytail Iguana, Swamper, Utila Spiny-tailed Iguana ",CR,44181,Ctenosaura bakeri,REPTILIA,decreasing,Honduras: 15.20000 -86.24191 ,,,,,,
Yunnan Box Turtle ,CR,5957,Cuora yunnanensis,REPTILIA,decreasing,China: 35.86166 104.19540 ,,,,,,
"Little Blue Macaw, Spix's Macaw ",CR,106001546,Cyanopsitta spixii,AVES,unknown,,Brazil: -14.23500 -51.92528 ,,,,,
Mexican Agouti ,CR,6285,Dasyprocta mexicana,MAMMALIA,decreasing,Too many markers for Mexico ,,,,Cuba: 21.52176 -77.78117 ,,
Wondiwoi Tree-kangaroo ,CR,136668,Dendrolagus mayri,MAMMALIA,unknown,,Indonesia: -0.78927 113.92133 ,,,,,
Golden-mantled Tree Kangaroo ,CR,136696,Dendrolagus pulcherrimus,MAMMALIA,decreasing,Papua New Guinea: -6.31499 143.95555 ,,,,,,
"Scott's Tree-kangaroo, Tenkile, Tenkile Tree Kangaroo ",CR,6435,Dendrolagus scottae,MAMMALIA,decreasing,Papua New Guinea: -6.31499 143.95555 ,,,,,,
Sumatran Rhinoceros ,CR,6553,Dicerorhinus sumatrensis,MAMMALIA,decreasing,"Indonesia: -0.78927 113.92133, Malaysia: 4.21048 101.97577 ",Burma: 21.91397 95.95622 ,"Bangladesh: 23.68499 90.35633, Bhutan: 27.51416 90.43360, Brunei Darussalam: 4.53528 114.72767, Cambodia: 12.56568 104.99096, India: 20.59368 78.96288, Laos: 19.85627 102.49550, Thailand: 15.87003 100.99254, Vietnam: 14.05832 108.27720 ",,,,
"Black Rhinoceros, Hook-lipped Rhinoceros ",CR,6557,Diceros bicornis,MAMMALIA,increasing,"Angola: -11.20269 17.87389, Kenya: -0.02356 37.90619, Mozambique: -18.66569 35.52956, Namibia: -22.95764 18.49041, South Africa: -30.55948 22.93751, Tanzania: -6.36903 34.88882, Zimbabwe: -19.01544 29.15486 ",Ethiopia: 9.14500 40.48967 ,"Cameroon: 7.36972 12.35472, Chad: 15.45417 18.73221, Rwanda: -1.94028 29.87389 ","Botswana: -22.32847 24.68487, Malawi: -13.25431 34.30152, Swaziland: -26.52250 31.46587, Zambia: -13.13390 27.84933 ",,,
Tristan Albatross ,CR,160030013,Diomedea dabbenena,AVES,decreasing,"Angola: -11.20269 17.87389, Argentina: -38.41610 -63.61667, Brazil: -14.23500 -51.92528, Namibia: -22.95764 18.49041, Angola: -11.20269 17.87389, Argentina: -38.41610 -63.61667, Brazil: -14.23500 -51.92528, Namibia: -22.95764 18.49041, Too many markers for Saint Helena South Africa: -30.55948 22.93751, Uruguay: -32.52278 -55.76584  ",,,,,,
"Negros Naked-backed Fruit Bat, Philippine Bare-backed Fruit Bat ",CR,6773,Dobsonia chapmani,MAMMALIA,decreasing,Philippines: 12.87972 121.77402 ,,,,,,
"Black Dorcopsis, Black Dorcopsis Wallaby, Black Forest-wallaby ",CR,6794,Dorcopsis atrata,MAMMALIA,decreasing,Papua New Guinea: -6.31499 143.95555 ,,,,,,
