Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native,Possibly Extinct,Regionally Extinct,Reintroduced,Introduced,Vagrant,Present origin uncertain
Asp Viper ,LC,61591,Vipera aspis,REPTILIA,decreasing,"France: 46.22764 2.21375, Germany: 51.16569 10.45153, Italy: 41.87194 12.56738, Slovenia: 46.15124 14.99546, Spain: 40.46367 -3.74922, Switzerland: 46.81819 8.22751 ",,Bulgaria: 42.73388 25.48583 ,,,,
Seoane's Viper ,LC,61594,Vipera seoanei,REPTILIA,unknown,"France: 46.22764 2.21375, Portugal: 39.39987 -8.22445, Spain: 40.46367 -3.74922 ",,,,,,
"Malayan Civet, Malay Civet, Oriental Civet ",LC,41708,Viverra tangalunga,MAMMALIA,stable,"Indonesia: -0.78927 113.92133, Malaysia: 4.21048 101.97577, Philippines: 12.87972 121.77402, Singapore: 1.35208 103.81984 ",,,,,,
Small Indian Civet ,LC,41710,Viverricula indica,MAMMALIA,stable,"Bangladesh: 23.68499 90.35633, Bhutan: 27.51416 90.43360, Cambodia: 12.56568 104.99096, China: 35.86166 104.19540, India: 20.59368 78.96288, Indonesia: -0.78927 113.92133, Laos: 19.85627 102.49550, Malaysia: 4.21048 101.97577, Burma: 21.91397 95.95622, Nepal: 28.39486 84.12401, Sri Lanka: 7.87305 80.77180, Thailand: 15.87003 100.99254, Vietnam: 14.05832 108.27720 ",,,,Madagascar: -18.76695 46.86911 ,,
"Bengal Fox, Indian Fox ",LC,23049,Vulpes bengalensis,MAMMALIA,decreasing,"Bangladesh: 23.68499 90.35633, India: 20.59368 78.96288, Nepal: 28.39486 84.12401, Pakistan: 30.37532 69.34512 ",,,,,,
"Cape Fox, Silver Fox, Silver Jackal ",LC,23060,Vulpes chama,MAMMALIA,stable,"Angola: -11.20269 17.87389, Botswana: -22.32847 24.68487, Namibia: -22.95764 18.49041, South Africa: -30.55948 22.93751 ",,,,,,
"Corsac, Corsac Fox ",LC,23051,Vulpes corsac,MAMMALIA,unknown,"Afghanistan: 33.93911 67.70995, China: 35.86166 104.19540, India: 20.59368 78.96288, Iran: 32.42791 53.68805, Kazakhstan: 48.01957 66.92368, Kyrgyzstan: 41.20438 74.76610, Mongolia: 46.86250 103.84666, Russian Federation: 61.52401 105.31876, Turkmenistan: 38.96972 59.55628, Uzbekistan: 41.37749 64.58526 ",,,,,,
"Sand Fox, Tibetan Fox, Tibetan Sand Fox ",LC,23061,Vulpes ferrilata,MAMMALIA,unknown,"China: 35.86166 104.19540, India: 20.59368 78.96288, Nepal: 28.39486 84.12401 ",,,,,,
"African Sand Fox, Pale Fox, Pallid Fox ",LC,23052,Vulpes pallida,MAMMALIA,unknown,"Benin: 9.30769 2.31583, Burkina Faso: 12.23833 -1.56159, Cameroon: 7.36972 12.35472, Chad: 15.45417 18.73221, Eritrea: 15.17938 39.78233, Ethiopia: 9.14500 40.48967, The Gambia: 13.44318 -15.31014, Mali: 17.57069 -3.99617, Mauritania: 21.00789 -10.94083, Niger: 17.60779 8.08167, Nigeria: 9.08200 8.67528, Senegal: 14.49740 -14.45236, South Sudan: 7.96309 30.15893, Sudan: 12.86281 30.21764 ",,,,,,
"Rueppell's Fox, Common name not unicode, Common name not unicode, Common name not unicode, Common name not unicode, Common name not unicode, Sand Fox ",LC,23053,Vulpes rueppellii,MAMMALIA,unknown,"Afghanistan: 33.93911 67.70995, Algeria: 28.03389 1.65963, Chad: 15.45417 18.73221, Djibouti: 11.82514 42.59027, Egypt: 26.82055 30.80250, Eritrea: 15.17938 39.78233, Ethiopia: 9.14500 40.48967, Iran: 32.42791 53.68805, Iraq: 33.22319 43.67929, Israel: 31.04605 34.85161, Jordan: 30.58516 36.23841, Libya: 26.33510 17.22833, Mali: 17.57069 -3.99617, Mauritania: 21.00789 -10.94083, Morocco: 31.79170 -7.09262, Niger: 17.60779 8.08167, Oman: 21.51258 55.92325, Pakistan: 30.37532 69.34512, Saudi Arabia: 23.88594 45.07916, Somalia: 5.15215 46.19962, Sudan: 12.86281 30.21764, Syria: 34.80207 38.99681, Tunisia: 33.88692 9.53750, United Arab Emirates: 23.42408 53.84782, Yemen: 15.55273 48.51639 ",,,,,,
Swift Fox ,LC,23059,Vulpes velox,MAMMALIA,stable,United States: 37.09024 -95.71289 ,,Canada: 56.13037 -106.34677 ,,,,
Fennec Fox ,LC,41588,Vulpes zerda,MAMMALIA,unknown,"Algeria: 28.03389 1.65963, Chad: 15.45417 18.73221, Egypt: 26.82055 30.80250, Libya: 26.33510 17.22833, Mali: 17.57069 -3.99617, Mauritania: 21.00789 -10.94083, Morocco: 31.79170 -7.09262, Niger: 17.60779 8.08167, Sudan: 12.86281 30.21764, Tunisia: 33.88692 9.53750 ",,,,,,
Yellow-spotted Keelback Water Snake ,LC,192120,Xenochrophis flavipunctatus,REPTILIA,stable,"Cambodia: 12.56568 104.99096, China: 35.86166 104.19540, Laos: 19.85627 102.49550, Burma: 21.91397 95.95622, Taiwan: 23.69781 120.96052, Thailand: 15.87003 100.99254, Vietnam: 14.05832 108.27720 ",,,,,,
Javan Keelback Water Snake ,LC,191986,Xenochrophis melanozostus,REPTILIA,unknown,Indonesia: -0.78927 113.92133 ,,,,,,
"Asian Sunbeam Snake, Sunbeam Snake ",LC,178481,Xenopeltis unicolor,REPTILIA,stable,"Cambodia: 12.56568 104.99096, China: 35.86166 104.19540, India: 20.59368 78.96288, Indonesia: -0.78927 113.92133, Laos: 19.85627 102.49550, Malaysia: 4.21048 101.97577, Burma: 21.91397 95.95622, Philippines: 12.87972 121.77402, Singapore: 1.35208 103.81984, Thailand: 15.87003 100.99254, Vietnam: 14.05832 108.27720 ",,,,,,
"Glandular Horned Toad, White-lipped Horned Toad ",LC,57643,Xenophrys major,AMPHIBIA,decreasing,"China: 35.86166 104.19540, India: 20.59368 78.96288, Laos: 19.85627 102.49550, Burma: 21.91397 95.95622, Thailand: 15.87003 100.99254, Vietnam: 14.05832 108.27720 ",,,,,,
Andre's Clawed Frog ,LC,58169,Xenopus andrei,AMPHIBIA,stable,"Cameroon: 7.36972 12.35472, Central African Republic: 6.61111 20.93944, Gabon: -0.80369 11.60944 ",,,,,,
"Fraser's Clawed Frog, Fraser's Platanna ",LC,58173,Xenopus fraseri,AMPHIBIA,stable,"Angola: -11.20269 17.87389, Cameroon: 7.36972 12.35472, Central African Republic: 6.61111 20.93944, Congo: -0.22802 15.82766, Democratic Republic of the Congo: -4.03833 21.75866, Equatorial Guinea: 1.65080 10.26789, Gabon: -0.80369 11.60944 ",,,,,,
Bouchia Clawed Frog ,LC,58179,Xenopus pygmaeus,AMPHIBIA,stable,"Central African Republic: 6.61111 20.93944, Democratic Republic of the Congo: -4.03833 21.75866, Uganda: 1.37333 32.29028 ",,,,,,
Kivu Clawed Frog ,LC,58181,Xenopus vestitus,AMPHIBIA,stable,"Democratic Republic of the Congo: -4.03833 21.75866, Rwanda: -1.94028 29.87389, Uganda: 1.37333 32.29028 ",,,,,,
De Witte's Clawed Frog ,LC,58182,Xenopus wittei,AMPHIBIA,stable,"Democratic Republic of the Congo: -4.03833 21.75866, Rwanda: -1.94028 29.87389, Uganda: 1.37333 32.29028 ",,,,,,
,LC,156837,Xerocrassa barceloi,GASTROPODA,decreasing,Spain: 40.46367 -3.74922 ,,,,,,
,LC,157093,Xerocrassa penchinati,GASTROPODA,stable,"Andorra: 42.50628 1.52180, France: 46.22764 2.21375, Spain: 40.46367 -3.74922 ",,,,,,
,LC,156482,Xerotricha gonzalezi,GASTROPODA,unknown,Spain: 40.46367 -3.74922 ,,,,,,
"Caucasian Rat Snake, Transcaucasian Rat Snake ",LC,157251,Zamenis hohenackeri,REPTILIA,decreasing,"Armenia: 40.06910 45.03819, Azerbaijan: 40.14310 47.57693, Armenia: 40.06910 45.03819, Azerbaijan: 40.14310 47.57693, Too many markers for Georgia Iran: 32.42791 53.68805, Iraq: 33.22319 43.67929, Israel: 31.04605 34.85161, Too many markers for Lebanon Russian Federation: 61.52401 105.31876, Syria: 34.80207 38.99681, Turkey: 38.96375 35.24332  ",,,,,,
"Aesculapean Snake, Aesculapian Ratsnake ",LC,157266,Zamenis longissimus,REPTILIA,unknown,"Albania: 41.15333 20.16833, Austria: 47.51623 14.55007, Bosnia and Herzegovina: 43.91589 17.67908, Bulgaria: 42.73388 25.48583, Croatia: 45.10000 15.20000, Czech Republic: 49.81749 15.47296, France: 46.22764 2.21375, Albania: 41.15333 20.16833, Austria: 47.51623 14.55007, Bosnia and Herzegovina: 43.91589 17.67908, Bulgaria: 42.73388 25.48583, Croatia: 45.10000 15.20000, Czech Republic: 49.81749 15.47296, France: 46.22764 2.21375, Too many markers for Georgia Germany: 51.16569 10.45153, Greece: 39.07421 21.82431, Hungary: 47.16249 19.50330, Italy: 41.87194 12.56738, Macedonia (FYROM): 41.60863 21.74527, Moldova: 47.41163 28.36989, Montenegro: 42.70868 19.37439, Romania: 45.94316 24.96676, Serbia: 44.01652 21.00586, Slovakia: 48.66903 19.69902, Slovenia: 46.15124 14.99546, Spain: 40.46367 -3.74922, Switzerland: 46.81819 8.22751, Turkey: 38.96375 35.24332, Ukraine: 48.37943 31.16558  ",,Denmark: 56.26392 9.50178 ,,,,
"European Ratsnake, Leopard Snake ",LC,61444,Zamenis situla,REPTILIA,stable,"Albania: 41.15333 20.16833, Bosnia and Herzegovina: 43.91589 17.67908, Bulgaria: 42.73388 25.48583, Croatia: 45.10000 15.20000, Greece: 39.07421 21.82431, Italy: 41.87194 12.56738, Macedonia (FYROM): 41.60863 21.74527, Malta: 35.93750 14.37542, Montenegro: 42.70868 19.37439, Turkey: 38.96375 35.24332, Ukraine: 48.37943 31.16558 ",,,,,,
Wattled Guan ,NT,100060091,Aburria aburri,AVES,decreasing,"Colombia: 4.57087 -74.29733, Ecuador: -1.83124 -78.18341, Peru: -9.18997 -75.01515, Venezuela: 6.42375 -66.58973 ",,,,,,
White-bellied Goshawk ,NT,106003436,Accipiter haplochrous,AVES,decreasing,New Caledonia: -20.90431 165.61804 ,,,,,,
Writhed Hornbill ,NT,100600967,Aceros leucocephalus,AVES,decreasing,Philippines: 12.87972 121.77402 ,,,,,,
Madagascar Jacana ,NT,106003069,Actophilornis albinucha,AVES,decreasing,Madagascar: -18.76695 46.86911 ,,,,,,
"Black Vulture, Cinereous Vulture, Eurasian Black Vulture ",NT,106003380,Aegypius monachus,AVES,decreasing,"Afghanistan: 33.93911 67.70995, Armenia: 40.06910 45.03819, Azerbaijan: 40.14310 47.57693, Bhutan: 27.51416 90.43360, Bulgaria: 42.73388 25.48583, China: 35.86166 104.19540, Croatia: 45.10000 15.20000, Afghanistan: 33.93911 67.70995, Armenia: 40.06910 45.03819, Azerbaijan: 40.14310 47.57693, Bhutan: 27.51416 90.43360, Bulgaria: 42.73388 25.48583, China: 35.86166 104.19540, Croatia: 45.10000 15.20000, Too many markers for Georgia Greece: 39.07421 21.82431, India: 20.59368 78.96288, Iran: 32.42791 53.68805, Iraq: 33.22319 43.67929, Israel: 31.04605 34.85161, Kazakhstan: 48.01957 66.92368, North Korea: 40.33985 127.51009, South Korea: 35.90776 127.76692, Kuwait: 29.31166 47.48177, Kyrgyzstan: 41.20438 74.76610, Too many markers for Lebanon Macedonia (FYROM): 41.60863 21.74527, Mongolia: 46.86250 103.84666, Montenegro: 42.70868 19.37439, Burma: 21.91397 95.95622, Nepal: 28.39486 84.12401, Pakistan: 30.37532 69.34512, Portugal: 39.39987 -8.22445, Russian Federation: 61.52401 105.31876, Russian Federation: 61.52401 105.31876, Russian Federation: 61.52401 105.31876, Saudi Arabia: 23.88594 45.07916, Serbia: 44.01652 21.00586, Spain: 40.46367 -3.74922, Sudan: 12.86281 30.21764, Syria: 34.80208 38.99681, Tajikistan: 38.86103 71.27609, Turkey: 38.96375 35.24332, Turkmenistan: 38.96972 59.55628, Ukraine: 48.37943 31.16558, Uzbekistan: 41.37749 64.58526, Vietnam: 14.05832 108.27720  ",,"Cyprus: 35.12641 33.42986, Italy: 41.87194 12.56738, Moldova: 47.41163 28.36989, Romania: 45.94316 24.96676, Slovenia: 46.15124 14.99546 ",France: 46.22764 2.21375 ,,"Austria: 47.51623 14.55007, Bangladesh: 23.68499 90.35633, Belarus: 53.70981 27.95339, Bosnia and Herzegovina: 43.91589 17.67908, Cambodia: 12.56568 104.99096, Egypt: 26.82055 30.80250, Germany: 51.16569 10.45153, Austria: 47.51623 14.55007, Bangladesh: 23.68499 90.35633, Belarus: 53.70981 27.95339, Bosnia and Herzegovina: 43.91589 17.67908, Cambodia: 12.56568 104.99096, Egypt: 26.82055 30.80250, Germany: 51.16569 10.45153, Too many markers for Gibraltar Hungary: 47.16249 19.50330, Japan: 36.20482 138.25292, Jordan: 30.58516 36.23841, Latvia: 56.87964 24.60319, Malaysia: 4.21048 101.97577, The Netherlands: 52.13263 5.29127, Oman: 21.51258 55.92325, Poland: 51.91944 19.14514, Slovakia: 48.66903 19.69902, Switzerland: 46.81819 8.22751, Taiwan: 23.69781 120.96052, Thailand: 15.87003 100.99254, Tunisia: 33.88692 9.53750, Yemen: 15.55273 48.51639  ","Albania: 41.15333 20.16833, Morocco: 31.79170 -7.09262 "
"Groove-toothed Flying Squirrel, North Chinese Flying Squirrel, Northern Chinese Flying Squirrel ",NT,555,Aeretes melanopterus,MAMMALIA,decreasing,China: 35.86166 104.19540 ,,,,,,
Fischer's Lovebird ,NT,106001511,Agapornis fischeri,AVES,decreasing,Tanzania: -6.36903 34.88882 ,,,,"Burundi: -3.37306 29.91889, Kenya: -0.02356 37.90619, Rwanda: -1.94028 29.87389, Spain: 40.46367 -3.74922 ",,
Lilian's Lovebird ,NT,106001513,Agapornis lilianae,AVES,decreasing,"Malawi: -13.25431 34.30152, Mozambique: -18.66569 35.52956, Tanzania: -6.36903 34.88882, Zambia: -13.13390 27.84933, Zimbabwe: -19.01544 29.15486 ",,,,Namibia: -22.95764 18.49041 ,,
Rock Partridge ,NT,100600139,Alectoris graeca,AVES,decreasing,"Albania: 41.15333 20.16833, Austria: 47.51623 14.55007, Bosnia and Herzegovina: 43.91589 17.67908, Bulgaria: 42.73388 25.48583, Croatia: 45.10000 15.20000, France: 46.22764 2.21375, Germany: 51.16569 10.45153, Greece: 39.07421 21.82431, Italy: 41.87194 12.56738, Macedonia (FYROM): 41.60863 21.74527, Montenegro: 42.70868 19.37439, Romania: 45.94316 24.96676, Serbia: 44.01652 21.00586, Slovenia: 46.15124 14.99546, Switzerland: 46.81819 8.22751 ",,Liechtenstein: 47.16600 9.55537 ,,"Belgium: 50.50389 4.46994, Belgium: 50.50389 4.46994, Too many markers for Lebanon Spain: 40.46367 -3.74922  ",Turkey: 38.96375 35.24332 ,
Greek Algyroides ,NT,61465,Algyroides moreoticus,REPTILIA,decreasing,Greece: 39.07421 21.82431 ,,,,,,
"Yellow-faced Amazon, Yellow-faced Parrot ",NT,106001676,Alipiopsitta xanthops,AVES,decreasing,"Bolivia: -16.29015 -63.58865, Brazil: -14.23500 -51.92528 ",,,,,,
Euphrates Jerboa ,NT,854,Allactaga euphratica,MAMMALIA,decreasing,"Iran: 32.42791 53.68805, Iraq: 33.22319 43.67929, Jordan: 30.58516 36.23841, Kuwait: 29.31166 47.48177, Iran: 32.42791 53.68805, Iraq: 33.22319 43.67929, Jordan: 30.58516 36.23841, Kuwait: 29.31166 47.48177, Too many markers for Lebanon Saudi Arabia: 23.88594 45.07916, Syria: 34.80208 38.99681, Turkey: 38.96375 35.24332  ",,,,,,
"Blue-cheeked Amazon, Blue-cheeked Parrot ",NT,106001672,Amazona dufresniana,AVES,decreasing,"French Guiana: 3.93389 -53.12578, Guyana: 4.86042 -58.93018, Suriname: 3.91931 -56.02778, Venezuela: 6.42375 -66.58973 ",,,,,,Brazil: -14.23500 -51.92528 
"Bahamas Parrot, Caribbean Amazon, Cuban Amazon, Cuban Parrot ",NT,106001660,Amazona leucocephala,AVES,decreasing,"The Bahamas: 25.03428 -77.39628, Cayman Islands: 19.31330 -81.25460, Cuba: 21.52176 -77.78117 ",,,,,,
Fynbos Golden Mole ,NT,62006,Amblysomus corriae,MAMMALIA,unknown,South Africa: -30.55948 22.93751 ,,,,,,
"Falcated Duck, Falcated Teal ",NT,100600428,Anas falcata,AVES,decreasing,"Bangladesh: 23.68499 90.35633, China: 35.86166 104.19540, Hong Kong: 22.39643 114.10950, India: 20.59368 78.96288, Japan: 36.20482 138.25292, North Korea: 40.33985 127.51009, South Korea: 35.90776 127.76692, Laos: 19.85627 102.49550, Mongolia: 46.86250 103.84666, Burma: 21.91397 95.95622, Nepal: 28.39486 84.12401, Russian Federation: 61.52401 105.31876, Russian Federation: 61.52401 105.31876, Taiwan: 23.69781 120.96052, Thailand: 15.87003 100.99254, Turkmenistan: 38.96972 59.55628, Vietnam: 14.05832 108.27720 ",,,,,"Afghanistan: 33.93911 67.70995, Austria: 47.51623 14.55007, Bulgaria: 42.73388 25.48583, Canada: 56.13037 -106.34677, Iran: 32.42791 53.68805, Iraq: 33.22319 43.67929, Jordan: 30.58516 36.23841, Kazakhstan: 48.01957 66.92368, Malta: 35.93750 14.37542, The Netherlands: 52.13263 5.29127, Northern Mariana Islands: 15.09790 145.67390, Pakistan: 30.37532 69.34512, Poland: 51.91944 19.14514, Portugal: 39.39987 -8.22445, Turkey: 38.96375 35.24332, United States: 37.09024 -95.71289 ",
"Plate-billed Mountain-toucan, Plate-billed Mountain Toucan, Plate-billed Mountain-Toucan ",NT,100600856,Andigena laminirostris,AVES,decreasing,"Colombia: 4.57087 -74.29733, Ecuador: -1.83124 -78.18341 ",,,,,,
Green Salamander ,NT,1282,Aneides aeneus,AMPHIBIA,decreasing,United States: 37.09024 -95.71289 ,,,,,,
Peloponnese Slow Worm ,NT,61467,Anguis cephalonnica,REPTILIA,decreasing,Greece: 39.07421 21.82431 ,,,,,,
"African Darter, Darter, Oriental Darter ",NT,106003662,Anhinga melanogaster,AVES,decreasing,"Bangladesh: 23.68499 90.35633, Brunei Darussalam: 4.53528 114.72767, Cambodia: 12.56568 104.99096, India: 20.59368 78.96288, Indonesia: -0.78927 113.92133, Laos: 19.85627 102.49550, Burma: 21.91397 95.95622, Nepal: 28.39486 84.12401, Pakistan: 30.37532 69.34512, Philippines: 12.87972 121.77402, Sri Lanka: 7.87305 80.77180, Timor-Leste: -8.87422 125.72754, Vietnam: 14.05832 108.27720 ",,Thailand: 15.87003 100.99254 ,,,Malaysia: 4.21048 101.97577 ,Palau: 7.51498 134.58252 
Austen's Brown Hornbill ,NT,160031517,Anorrhinus austeni,AVES,decreasing,"Cambodia: 12.56568 104.99096, China: 35.86166 104.19540, India: 20.59368 78.96288, Laos: 19.85627 102.49550, Burma: 21.91397 95.95622, Thailand: 15.87003 100.99254, Vietnam: 14.05832 108.27720 ",,,,,,
"Brown Hornbill, Tickell's Brown Hornbill ",NT,160031518,Anorrhinus tickelli,AVES,decreasing,"Burma: 21.91397 95.95622, Thailand: 15.87003 100.99254 ",,,,,,
"Malabar Pied Hornbill, Malabar Pied-Hornbill ",NT,100600946,Anthracoceros coronatus,AVES,decreasing,"India: 20.59368 78.96288, Sri Lanka: 7.87305 80.77180 ",,,,,,
"Snow Mountain Quail, Snow Mountains Quail ",NT,100600203,Anurophasis monorthonyx,AVES,decreasing,Indonesia: -0.78927 113.92133 ,,,,,,
Yellow-eyed Starling ,NT,106006754,Aplonis mystacea,AVES,decreasing,"Indonesia: -0.78927 113.92133, Papua New Guinea: -6.31499 143.95555 ",,,,,,
,NT,176344,Apostolepis multicincta,REPTILIA,unknown,Bolivia: -16.29015 -63.58865 ,,,,,,
"Jonquil Parrot, Olive-shouldered Parrot, Timor Red-winged Parrot ",NT,106001454,Aprosmictus jonquillaceus,AVES,decreasing,"Indonesia: -0.78927 113.92133, Timor-Leste: -8.87422 125.72754 ",,,,,,
"Golden-capped Conure, Golden-capped Parakeet ",NT,106001574,Aratinga auricapillus,AVES,decreasing,Brazil: -14.23500 -51.92528 ,,,,,,
"Red-masked Conure, Red-masked Parakeet ",NT,106001567,Aratinga erythrogenys,AVES,decreasing,"Ecuador: -1.83124 -78.18341, Peru: -9.18997 -75.01515 ",,,,"Bonaire Sint Eustatius and Saba: 12.17836 -68.23853, Bonaire Sint Eustatius and Saba: 12.17836 -68.23853, Name not unicode cant write Puerto Rico: 18.22083 -66.59015, Bonaire Sint Eustatius and Saba: 12.17836 -68.23853, Name not unicode cant write Puerto Rico: 18.22083 -66.59015, Too many markers for Sint Maarten;; Puerto Rico: 18.22083 -66.59015, Bonaire Sint Eustatius and Saba: 12.17836 -68.23853, Bonaire Sint Eustatius and Saba: 12.17836 -68.23853, Name not unicode cant write Puerto Rico: 18.22083 -66.59015, Bonaire Sint Eustatius and Saba: 12.17836 -68.23853, Name not unicode cant write Puerto Rico: 18.22083 -66.59015, Too many markers for Sint Maarten;; Puerto Rico: 18.22083 -66.59015, Too many markers for Sint Maarten ",,
White-cheeked Partridge ,NT,100600210,Arborophila atrogularis,AVES,decreasing,"Bangladesh: 23.68499 90.35633, China: 35.86166 104.19540, India: 20.59368 78.96288, Burma: 21.91397 95.95622 ",,,,,,
"Rickett's Hill-partridge, White-necklaced Partridge ",NT,100600218,Arborophila gingica,AVES,decreasing,China: 35.86166 104.19540 ,,,,,,
Hog Badger ,NT,41625,Arctonyx collaris,MAMMALIA,decreasing,"Bhutan: 27.51416 90.43360, Cambodia: 12.56568 104.99096, China: 35.86166 104.19540, India: 20.59368 78.96288, Indonesia: -0.78927 113.92133, Laos: 19.85627 102.49550, Mongolia: 46.86250 103.84666, Burma: 21.91397 95.95622, Thailand: 15.87003 100.99254, Vietnam: 14.05832 108.27720 ",,,,,,
Arabian Bustard ,NT,106002765,Ardeotis arabs,AVES,decreasing,"Burkina Faso: 12.23833 -1.56159, Cameroon: 7.36972 12.35472, Central African Republic: 6.61111 20.93944, Chad: 15.45417 18.73221, Burkina Faso: 12.23833 -1.56159, Cameroon: 7.36972 12.35472, Central African Republic: 6.61111 20.93944, Chad: 15.45417 18.73221, Name not unicode cant write Djibouti: 11.82514 42.59027, Eritrea: 15.17938 39.78233, Ethiopia: 9.14500 40.48967, Ghana: 7.94653 -1.02319, Mali: 17.57069 -3.99617, Mauritania: 21.00789 -10.94083, Morocco: 31.79170 -7.09262, Niger: 17.60779 8.08167, Nigeria: 9.08200 8.67528, Saudi Arabia: 23.88594 45.07916, Senegal: 14.49740 -14.45236, South Sudan: 7.96309 30.15893, Sudan: 12.86281 30.21764, Yemen: 15.55273 48.51639 ; Djibouti: 11.82514 42.59027, Eritrea: 15.17938 39.78233, Ethiopia: 9.14500 40.48967, Ghana: 7.94653 -1.02319, Mali: 17.57069 -3.99617, Mauritania: 21.00789 -10.94083, Morocco: 31.79170 -7.09262, Niger: 17.60779 8.08167, Nigeria: 9.08200 8.67528, Saudi Arabia: 23.88594 45.07916, Senegal: 14.49740 -14.45236, South Sudan: 7.96309 30.15893, Sudan: 12.86281 30.21764, Yemen: 15.55273 48.51639 ",,,,,"Algeria: 28.03389 1.65963, The Gambia: 13.44318 -15.31014, Kenya: -0.02356 37.90619, Somalia: 5.15215 46.19962 ",Guinea-Bissau: 11.80375 -15.18041 
Great Argus ,NT,139541085,Argusianus argus,AVES,decreasing,"Brunei Darussalam: 4.53528 114.72767, Indonesia: -0.78927 113.92133, Malaysia: 4.21048 101.97577, Burma: 21.91397 95.95622, Thailand: 15.87003 100.99254 ",,Singapore: 1.35208 103.81984 ,,,,
"Ribbon-tailed Astrapia, Ribbon-tailed Bird-of-paradise ",NT,106005835,Astrapia mayeri,AVES,decreasing,Papua New Guinea: -6.31499 143.95555 ,,,,,,
"Short-eared Dog, Short-eared Fox, Small-eared Dog, Small-eared Zorro ",NT,6924,Atelocynus microtis,MAMMALIA,decreasing,"Bolivia: -16.29015 -63.58865, Brazil: -14.23500 -51.92528, Colombia: 4.57087 -74.29733, Ecuador: -1.83124 -78.18341, Peru: -9.18997 -75.01515 ",,,,,,
"Crossley's Ground-roller, Crossley's Ground Roller, Rufous-headed Ground-roller, Rufous-headed Ground Roller, Rufous-headed Ground-Roller ",NT,106001048,Atelornis crossleyi,AVES,decreasing,Madagascar: -18.76695 46.86911 ,,,,,,
