Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native
Swift Parrot,EN,106001488,Lathamus discolor,AVES,decreasing,Australia: -25.27440 133.77514
"Dark-mantled Sooty Albatross, Sooty Albatross",EN,106003967,Phoebetria fusca,AVES,decreasing,Australia: -25.27440 133.77514
Tasmanian Devil,EN,40540,Sarcophilus harrisii,MAMMALIA,decreasing,Australia: -25.27440 133.77514
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Austria: 47.51623 14.55007
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Austria: 47.51623 14.55007
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Austria: 47.51623 14.55007
"Siberian Crane, Siberian White Crane, Snow Crane",CR,106002786,Leucogeranus leucogeranus,AVES,decreasing,Azerbaijan: 40.14310 47.57693
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,Azerbaijan: 40.14310 47.57693
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Azerbaijan: 40.14310 47.57693
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Azerbaijan: 40.14310 47.57693
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Azerbaijan: 40.14310 47.57693
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Azerbaijan: 40.14310 47.57693
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Azerbaijan: 40.14310 47.57693
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Bahrain: 26.06670 50.55770
"Spoon-billed Sandpiper, Spoonbill Sandpiper",CR,106003060,Eurynorhynchus pygmeus,AVES,decreasing,Bangladesh: 23.68499 90.35633
Slender-billed Vulture,CR,160030234,Gyps tenuirostris,AVES,decreasing,Bangladesh: 23.68499 90.35633
"Indian Black Vulture, Pondicherry Vulture, Red-headed Vulture",CR,106003383,Sarcogyps calvus,AVES,decreasing,Bangladesh: 23.68499 90.35633
"Hog Deer, Indochinese Hog Deer, Thai Hog Deer",EN,41784,Axis porcinus,MAMMALIA,decreasing,Bangladesh: 23.68499 90.35633
"White-winged Duck, White-winged Wood Duck",EN,100600410,Cairina scutulata,AVES,decreasing,Bangladesh: 23.68499 90.35633
"Assam Rabbit, Hispid Hare",EN,3833,Caprolagus hispidus,MAMMALIA,decreasing,Bangladesh: 23.68499 90.35633
"Asiatic Wild Dog, Dhole, Indian Wild Dog, Red Dog",EN,5953,Cuon alpinus,MAMMALIA,decreasing,Bangladesh: 23.68499 90.35633
"Asian Elephant, Indian Elephant",EN,7140,Elephas maximus,MAMMALIA,decreasing,Bangladesh: 23.68499 90.35633
"Asian Finfoot, Masked Finfoot",EN,106002801,Heliopais personatus,AVES,decreasing,Bangladesh: 23.68499 90.35633
