Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Macedonia (FYROM): 41.60863 21.74527
Radiated Tortoise,CR,9014,Astrochelys radiata,REPTILIA,decreasing,Madagascar: -18.76695 46.86911
Bizarre-nosed Chameleon,CR,172796,Calumma hafahafa,REPTILIA,decreasing,Madagascar: -18.76695 46.86911
"Blue-eyed Black Lemur, Sclater's Black Lemur",CR,8211,Eulemur flavifrons,MAMMALIA,decreasing,Madagascar: -18.76695 46.86911
Belalanda Chameleon,CR,172740,Furcifer belalandaensis,REPTILIA,decreasing,Madagascar: -18.76695 46.86911
"Madagascar Fish-eagle, Madagascar Fish Eagle, Madagascar Fish-Eagle",CR,106003362,Haliaeetus vociferoides,AVES,decreasing,Madagascar: -18.76695 46.86911
"Alaotran Gentle Lemur, Alaotra Reed Lemur, Lac Alaotra Bamboo Lemur, Lake Alaotra Gentle Lemur",CR,9676,Hapalemur alaotrensis,MAMMALIA,decreasing,Madagascar: -18.76695 46.86911
"Northern Sportive Lemur, Sahafary Sportive Lemur",CR,11622,Lepilemur septentrionalis,MAMMALIA,decreasing,Madagascar: -18.76695 46.86911
Golden Mantella,CR,12776,Mantella aurantiaca,AMPHIBIA,decreasing,Madagascar: -18.76695 46.86911
Cowan's Mantella,CR,57441,Mantella cowanii,AMPHIBIA,decreasing,Madagascar: -18.76695 46.86911
Black-eared Mantella,CR,57448,Mantella milotympanum,AMPHIBIA,decreasing,Madagascar: -18.76695 46.86911
blank,CR,178246,Phelsuma pronki,REPTILIA,decreasing,Madagascar: -18.76695 46.86911
"Broad-nosed Gentle Lemur, Greater Bamboo Lemur",CR,9674,Prolemur simus,MAMMALIA,decreasing,Madagascar: -18.76695 46.86911
"Silky Sifaka, Silky Simpona",CR,18360,Propithecus candidus,MAMMALIA,decreasing,Madagascar: -18.76695 46.86911
Perrier's Sifaka,CR,18361,Propithecus perrieri,MAMMALIA,decreasing,Madagascar: -18.76695 46.86911
Spider Tortoise,CR,19035,Pyxis arachnoides,REPTILIA,decreasing,Madagascar: -18.76695 46.86911
"Flat-backed Spider Tortoise, Flat-shelled Spider Tortoise, Flat-tailed Tortoise, Madagascar Flat-shelled Tortoise",CR,19036,Pyxis planicauda,REPTILIA,decreasing,Madagascar: -18.76695 46.86911
"Black-and-white Ruffed Lemur, Ruffed Lemur",CR,22918,Varecia variegata,MAMMALIA,decreasing,Madagascar: -18.76695 46.86911
Hairy-eared Dwarf Lemur,DD,868,Allocebus trichotis,MAMMALIA,unknown,Madagascar: -18.76695 46.86911
Thanh's Reed Snake,DD,176302,Calumma fallax,REPTILIA,unknown,Madagascar: -18.76695 46.86911
"Audebert's Brown Lemur, Red Brown Lemur, Red-fronted Brown Lemur",DD,8209,Eulemur rufus,MAMMALIA,decreasing,Madagascar: -18.76695 46.86911
Grey-backed Sportive Lemur,DD,11616,Lepilemur dorsalis,MAMMALIA,unknown,Madagascar: -18.76695 46.86911
"Light-necked Sportive Lemur, Microdon Sportive Lemur, Small-toothed Sportive Lemur",DD,11619,Lepilemur microdon,MAMMALIA,unknown,Madagascar: -18.76695 46.86911
"Greater Sportive Lemur, Greater Weasel Lemur, Weasel Sportive Lemur",DD,11620,Lepilemur mustelinus,MAMMALIA,unknown,Madagascar: -18.76695 46.86911
"Sahamalaza Peninsula Sportive Lemur, Sahamalaza Sportive Lemur",DD,136645,Lepilemur sahamalazensis,MAMMALIA,unknown,Madagascar: -18.76695 46.86911
"Olivier's Crake, Olivier's Rail, Sakalava Rail",EN,106002898,Amaurornis olivieri,AVES,decreasing,Madagascar: -18.76695 46.86911
"Bernier's Teal, Madagascar Teal",EN,100600449,Anas bernieri,AVES,decreasing,Madagascar: -18.76695 46.86911
Meller's Duck,EN,100600442,Anas melleri,AVES,decreasing,Madagascar: -18.76695 46.86911
"Humblot's Heron, Madagascar Heron",EN,106003721,Ardea humbloti,AVES,decreasing,Madagascar: -18.76695 46.86911
"Madagascar Pond-heron, Madagascar Pond-Heron, Madagascar Squacco Heron, Malagasy Pond Heron",EN,106003735,Ardeola idae,AVES,decreasing,Madagascar: -18.76695 46.86911
"Grey Crowned-crane, Grey Crowned Crane, Grey Crowned-Crane, Southern Crowned Crane",EN,57505,Boehmantis microtympanum,AMPHIBIA,decreasing,Madagascar: -18.76695 46.86911
Hairy-tailed Tree Rat,EN,136399,Brachytarsomys villosa,MAMMALIA,unknown,Madagascar: -18.76695 46.86911
Antsingy Leaf Chameleon,EN,3083,Brookesia perarmata,REPTILIA,decreasing,Madagascar: -18.76695 46.86911
Antsingy Leaf Chameleon,EN,176300,Brookesia valerieae,REPTILIA,unknown,Madagascar: -18.76695 46.86911
"Painted Tree-rat, Painted Tree Rat",EN,176303,Calumma gallus,REPTILIA,decreasing,Madagascar: -18.76695 46.86911
"White-collared Brown Lemur, White-collared Lemur",EN,8205,Eulemur cinereiceps,MAMMALIA,decreasing,Madagascar: -18.76695 46.86911
Sanford's Brown Lemur,EN,8210,Eulemur sanfordi,MAMMALIA,decreasing,Madagascar: -18.76695 46.86911
"Madagascar Serpent-eagle, Madagascar Serpent Eagle, Madagascar Serpent-Eagle",EN,106003398,Eutriorchis astur,AVES,decreasing,Madagascar: -18.76695 46.86911
Two-banded Chameleon,EN,172934,Furcifer balteatus,REPTILIA,decreasing,Madagascar: -18.76695 46.86911
Lesser Chameleon,EN,8766,Furcifer minor,REPTILIA,decreasing,Madagascar: -18.76695 46.86911
"Golden Bamboo Lemur, Golden Lemur",EN,9672,Hapalemur aureus,MAMMALIA,decreasing,Madagascar: -18.76695 46.86911
"Malagasy Giant Jumping Rat, Malagasy Giant Rat",EN,10714,Hypogeomys antimena,MAMMALIA,decreasing,Madagascar: -18.76695 46.86911
Indri,EN,10826,Indri indri,MAMMALIA,decreasing,Madagascar: -18.76695 46.86911
Ankarana Sportive Lemur,EN,136731,Lepilemur ankaranensis,MAMMALIA,decreasing,Madagascar: -18.76695 46.86911
Bernhard's Mantella,EN,57439,Mantella bernhardi,AMPHIBIA,decreasing,Madagascar: -18.76695 46.86911
Yellow Mantella,EN,57442,Mantella crocea,AMPHIBIA,decreasing,Madagascar: -18.76695 46.86911
Blue-legged Mantella,EN,57443,Mantella expectata,AMPHIBIA,decreasing,Madagascar: -18.76695 46.86911
Green Mantella,EN,57451,Mantella viridis,AMPHIBIA,decreasing,Madagascar: -18.76695 46.86911
"Bay Cat, Bornean Bay Cat, Bornean Marbled Cat, Borneo Bay Cat",EN,172883,Paroedura masobe,REPTILIA,decreasing,Madagascar: -18.76695 46.86911
Yellow-throated Day Gecko,EN,178689,Phelsuma flavigularis,REPTILIA,decreasing,Madagascar: -18.76695 46.86911
Yellow-throated Day Gecko,EN,172981,Phelsuma klemmeri,REPTILIA,unknown,Madagascar: -18.76695 46.86911
blank,EN,193488,Phelsuma roesleri,REPTILIA,unknown,Madagascar: -18.76695 46.86911
blank,EN,172948,Phelsuma serraticauda,REPTILIA,decreasing,Madagascar: -18.76695 46.86911
"Cuvier's Hutia, Hispaniolan Hutia, Hispanolan Hutia",EN,57959,Platypelis milloti,AMPHIBIA,decreasing,Madagascar: -18.76695 46.86911
"Coquerel's Sifaka, Crowned Sifaka",EN,18355,Propithecus coquereli,MAMMALIA,decreasing,Madagascar: -18.76695 46.86911
Crowned Sifaka,EN,18356,Propithecus coronatus,MAMMALIA,decreasing,Madagascar: -18.76695 46.86911
Diademed Sifaka,EN,18358,Propithecus diadema,MAMMALIA,decreasing,Madagascar: -18.76695 46.86911
"Milne-edward's Sifaka, Milne-edwards' Sifaka",EN,18359,Propithecus edwardsi,MAMMALIA,decreasing,Madagascar: -18.76695 46.86911
"Golden-crowned Sifaka, Tattersall's Sifaka",EN,18352,Propithecus tattersalli,MAMMALIA,unknown,Madagascar: -18.76695 46.86911
Tasmanian Devil,EN,57995,Scaphiophryne boribory,AMPHIBIA,decreasing,Madagascar: -18.76695 46.86911
Tasmanian Devil,EN,57998,Scaphiophryne gottlebei,AMPHIBIA,decreasing,Madagascar: -18.76695 46.86911
Madagascar Sacred Ibis,EN,160031501,Threskiornis bernieri,AVES,decreasing,Madagascar: -18.76695 46.86911
"Nordmann's Greenshank,  Spotted Greenshank",EN,172943,Uroplatus pietschmanni,REPTILIA,unknown,Madagascar: -18.76695 46.86911
"Red-ruffed Lemur, Red Ruffed Lemur",EN,22920,Varecia rubra,MAMMALIA,decreasing,Madagascar: -18.76695 46.86911
"Madagascar Pond-heron, Madagascar Pond-Heron, Madagascar Squacco Heron, Malagasy Pond Heron",EN,106003735,Ardeola idae,AVES,decreasing,Malawi: -13.25431 34.30152
"Grey Crowned-crane, Grey Crowned Crane, Grey Crowned-Crane, Southern Crowned Crane",EN,106002785,Balearica regulorum,AVES,decreasing,Malawi: -13.25431 34.30152
White-backed Vulture,EN,106003373,Gyps africanus,AVES,decreasing,Malawi: -13.25431 34.30152
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Malawi: -13.25431 34.30152
Hooded Vulture,EN,106003372,Necrosyrtes monachus,AVES,decreasing,Malawi: -13.25431 34.30152
"Grey Wood-pigeon, Silvery Pigeon, Silvery Wood-pigeon, Silvery Wood-Pigeon",CR,106002467,Columba argentina,AVES,decreasing,Malaysia: 4.21048 101.97577
Sumatran Rhinoceros,CR,6553,Dicerorhinus sumatrensis,MAMMALIA,decreasing,Malaysia: 4.21048 101.97577
"Spoon-billed Sandpiper, Spoonbill Sandpiper",CR,106003060,Eurynorhynchus pygmeus,AVES,decreasing,Malaysia: 4.21048 101.97577
"Andrews' Frigatebird, Christmas Frigatebird, Christmas Island Frigatebird",CR,106003847,Fregata andrewsi,AVES,decreasing,Malaysia: 4.21048 101.97577
"Chinese Crested Tern, Chinese Crested-Tern",CR,106003264,Sterna bernsteini,AVES,decreasing,Malaysia: 4.21048 101.97577
"Audebert's Brown Lemur, Red Brown Lemur, Red-fronted Brown Lemur",DD,58287,Fejervarya raja,AMPHIBIA,unknown,Malaysia: 4.21048 101.97577
"Java Mousedeer, Javan Chevrotain, Javan Mousedeer, Kanchil, Lesser Mouse Deer",DD,41780,Tragulus javanicus,MAMMALIA,unknown,Malaysia: 4.21048 101.97577
"Banteng, Tembadau",EN,2888,Bos javanicus,MAMMALIA,decreasing,Malaysia: 4.21048 101.97577
Storm's Stork,EN,106003833,Ciconia stormi,AVES,decreasing,Malaysia: 4.21048 101.97577
"Asiatic Wild Dog, Dhole, Indian Wild Dog, Red Dog",EN,5953,Cuon alpinus,MAMMALIA,decreasing,Malaysia: 4.21048 101.97577
"Otter-civet, Otter Civet, Sunda Otter Civet",EN,6082,Cynogale bennettii,MAMMALIA,unknown,Malaysia: 4.21048 101.97577
"Asian Elephant, Indian Elephant",EN,7140,Elephas maximus,MAMMALIA,decreasing,Malaysia: 4.21048 101.97577
"Asian Finfoot, Masked Finfoot",EN,106002801,Heliopais personatus,AVES,decreasing,Malaysia: 4.21048 101.97577
"Agile Gibbon, Dark-handed Gibbon",EN,10543,Hylobates agilis,MAMMALIA,decreasing,Malaysia: 4.21048 101.97577
"Common Gibbon, Lar Gibbon, White-handed Gibbon",EN,10548,Hylobates lar,MAMMALIA,decreasing,Malaysia: 4.21048 101.97577
"Bornean Gibbon, Bornean Grey Gibbon, Borneo Gibbon, Grey Gibbon",EN,10551,Hylobates muelleri,MAMMALIA,decreasing,Malaysia: 4.21048 101.97577
Hairy-nosed Otter,EN,12421,Lutra sumatrana,MAMMALIA,decreasing,Malaysia: 4.21048 101.97577
"Malayan Pangolin, Sunda Pangolin",EN,12763,Manis javanica,MAMMALIA,decreasing,Malaysia: 4.21048 101.97577
"Long-nosed Monkey, Proboscis Monkey",EN,14352,Nasalis larvatus,MAMMALIA,decreasing,Malaysia: 4.21048 101.97577
Tiger,EN,15955,Panthera tigris,MAMMALIA,decreasing,Malaysia: 4.21048 101.97577
"Bay Cat, Bornean Bay Cat, Bornean Marbled Cat, Borneo Bay Cat",EN,4037,Pardofelis badia,MAMMALIA,decreasing,Malaysia: 4.21048 101.97577
Bornean Orangutan,EN,17975,Pongo pygmaeus,MAMMALIA,decreasing,Malaysia: 4.21048 101.97577
Pulau Tioman Pit Viper,EN,192086,Popeia buniana,REPTILIA,unknown,Malaysia: 4.21048 101.97577
Flat-headed Cat,EN,18148,Prionailurus planiceps,MAMMALIA,decreasing,Malaysia: 4.21048 101.97577
Siamang,EN,39779,Symphalangus syndactylus,MAMMALIA,decreasing,Malaysia: 4.21048 101.97577
"Asian Tapir, Indian Tapir, Malayan Tapir, Malay Tapir",EN,21472,Tapirus indicus,MAMMALIA,decreasing,Malaysia: 4.21048 101.97577
"Nordmann's Greenshank,  Spotted Greenshank",EN,106003020,Tringa guttifer,AVES,decreasing,Malaysia: 4.21048 101.97577
"Addra Gazelle, Dama Gazelle",CR,8968,Nanger dama,MAMMALIA,decreasing,Mali: 17.57069 -3.99617
"Banded Skink, Peters' Banded Skink",DD,178691,Scincopus fasciatus,REPTILIA,unknown,Mali: 17.57069 -3.99617
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Mali: 17.57069 -3.99617
"Rhim, Slender-horned Gazelle",EN,8972,Gazella leptoceros,MAMMALIA,decreasing,Mali: 17.57069 -3.99617
White-backed Vulture,EN,106003373,Gyps africanus,AVES,decreasing,Mali: 17.57069 -3.99617
"Rueppell's Griffon, Rueppell's Vulture,  Ruppell's Vulture",EN,106003376,Gyps rueppellii,AVES,decreasing,Mali: 17.57069 -3.99617
Hooded Vulture,EN,106003372,Necrosyrtes monachus,AVES,decreasing,Mali: 17.57069 -3.99617
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Mali: 17.57069 -3.99617
"Chimpanzee, Common Chimpanzee, Robust Chimpanzee",EN,15933,Pan troglodytes,MAMMALIA,decreasing,Mali: 17.57069 -3.99617
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Malta: 35.93750 14.37542
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Malta: 35.93750 14.37542
"Lesser Antillean Green Iguana, West Indian Iguana",EN,10800,Iguana delicatissima,REPTILIA,decreasing,Martinique: 14.64153 -61.02417
Addax,CR,512,Addax nasomaculatus,MAMMALIA,decreasing,Mauritania: 21.00789 -10.94083
"Bald Ibis, Hermit Ibis, Northern Bald Ibis, Waldrapp",CR,106003791,Geronticus eremita,AVES,decreasing,Mauritania: 21.00789 -10.94083
"Banded Skink, Peters' Banded Skink",DD,178691,Scincopus fasciatus,REPTILIA,unknown,Mauritania: 21.00789 -10.94083
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Mauritania: 21.00789 -10.94083
White-backed Vulture,EN,106003373,Gyps africanus,AVES,decreasing,Mauritania: 21.00789 -10.94083
"Rueppell's Griffon, Rueppell's Vulture,  Ruppell's Vulture",EN,106003376,Gyps rueppellii,AVES,decreasing,Mauritania: 21.00789 -10.94083
Hooded Vulture,EN,106003372,Necrosyrtes monachus,AVES,decreasing,Mauritania: 21.00789 -10.94083
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Mauritania: 21.00789 -10.94083
Rodrigues Flying Fox,CR,18755,Pteropus rodricensis,MAMMALIA,increasing,Mauritius: -20.34840 57.55215
"Greater Mascarene Flying Fox, Mauritan Flying Fox, Mauritian Flying Fox",EN,18743,Pteropus niger,MAMMALIA,decreasing,Mauritius: -20.34840 57.55215
"Madagascar Pond-heron, Madagascar Pond-Heron, Madagascar Squacco Heron, Malagasy Pond Heron",EN,106003735,Ardeola idae,AVES,decreasing,Mayotte: -12.82750 45.16624
Lake Lerma Salamander,CR,1093,Ambystoma lermaense,AMPHIBIA,decreasing,Mexico: 19.0000 -99.0000
Santa Catalina Island Rattlesnake,CR,64314,Crotalus catalinensis,REPTILIA,decreasing,Mexico: 19.0000 -99.0000
Mexican Agouti,CR,6285,Dasyprocta mexicana,MAMMALIA,decreasing,Mexico: 19.0000 -99.0000
Alcorn's Pocket Gopher,CR,16023,Pappogeomys alcorni,MAMMALIA,decreasing,Mexico: 19.0000 -99.0000
San Jose Brush Rabbit,CR,21210,Sylvilagus mansuetus,MAMMALIA,decreasing,Mexico: 19.0000 -99.0000
"La Plata Otter, Long-tailed Otter, Neotropical Otter, Neotropical River Otter, South American River Otter",DD,12304,Lontra longicaudis,MAMMALIA,decreasing,Mexico: 19.0000 -99.0000
Central American Red Brocket,DD,136290,Mazama temama,MAMMALIA,decreasing,Mexico: 19.0000 -99.0000
"Tricolored Blackbird, Tricoloured Blackbird",EN,106009711,Agelaius tricolor,AVES,decreasing,Mexico: 19.0000 -99.0000
"Black Howling Monkey, Guatemalan Black Howler Monkey, Guatemalan Howler, Guatemalan Howling Monkey,  Mexican Black Howler Monkey",EN,914,Alouatta pigra,MAMMALIA,decreasing,Mexico: 19.0000 -99.0000
"Yellow-headed Amazon, Yellow-headed Parrot",EN,106001679,Amazona oratrix,AVES,decreasing,Mexico: 19.0000 -99.0000
"Green-cheeked Amazon, Red-crowned Amazon, Red-crowned Parrot",EN,106001669,Amazona viridigenalis,AVES,decreasing,Mexico: 19.0000 -99.0000
"Green-cheeked Amazon, Red-crowned Amazon, Red-crowned Parrot",EN,59049,Ambystoma altamirani,AMPHIBIA,decreasing,Mexico: 19.0000 -99.0000
"Black-handed Spider Monkey, Central American Spider Monkey, Geoffroy's Spider Monkey,  Mono Colorado",EN,2279,Ateles geoffroyi,MAMMALIA,decreasing,Mexico: 19.0000 -99.0000
"Mexican Prairie Dog, Mexican Prairie Marmot",EN,6089,Cynomys mexicanus,MAMMALIA,unknown,Mexico: 19.0000 -99.0000
Sea Otter,EN,7750,Enhydra lutris,MAMMALIA,decreasing,Mexico: 19.0000 -99.0000
"Greater Long-nosed Bat, Mexican Long-nosed Bat",EN,11697,Leptonycteris nivalis,MAMMALIA,decreasing,Mexico: 19.0000 -99.0000
"Tehuantepec Hare, Tehuantepec Jackrabbit, Tehuantepec Jack Rabbit, Tropical Hare",EN,11790,Lepus flavigularis,MAMMALIA,decreasing,Mexico: 19.0000 -99.0000
Horned Guan,EN,100060095,Oreophasis derbianus,AVES,decreasing,Mexico: 19.0000 -99.0000
Thick-billed Parrot,EN,106001584,Rhynchopsitta pachyrhyncha,AVES,decreasing,Mexico: 19.0000 -99.0000
Maroon-fronted Parrot,EN,106001585,Rhynchopsitta terrisi,AVES,decreasing,Mexico: 19.0000 -99.0000
Volcano Rabbit,EN,19742,Romerolagus diazi,MAMMALIA,increasing,Mexico: 19.0000 -99.0000
Baja California Rock Squirrel,EN,20480,Spermophilus atricapillus,MAMMALIA,decreasing,Mexico: 19.0000 -99.0000
"Baird's Tapir, Central American Tapir",EN,21471,Tapirus bairdii,MAMMALIA,decreasing,Mexico: 19.0000 -99.0000
Pohnpei Starling,CR,106006734,Aplonis pelzelni,AVES,decreasing,Micronesia: 6.88746 158.21507
"Carolines Fruit Bat, Chuuk Flying Fox, Ruck Flying Fox",CR,18730,Pteropus insularis,MAMMALIA,unknown,Micronesia: 6.88746 158.21507
"Marianas Flying Fox, Marianas Fruit Bat, Marianna Flying Fox, Micronesian Flying-fox, Micronesian Flying Fox, Pagan Island Fruit Bat, Ulithi Fruit Bat",EN,18737,Pteropus mariannus,MAMMALIA,decreasing,Micronesia: 6.88746 158.21507
"Lesser Blind Mole Rat, Lesser Mole Rat",DD,14328,Spalax leucodon,MAMMALIA,decreasing,Moldova: 47.41163 28.36989
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Moldova: 47.41163 28.36989
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Moldova: 47.41163 28.36989
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Moldova: 47.41163 28.36989
"Bactrian Camel, Wild Bactrian Camel",CR,63543,Camelus ferus,MAMMALIA,decreasing,Mongolia: 46.86250 103.84666
"Siberian Crane, Siberian White Crane, Snow Crane",CR,106002786,Leucogeranus leucogeranus,AVES,decreasing,Mongolia: 46.86250 103.84666
"Mongolian Saiga, Saiga, Saiga Antelope",CR,19832,Saiga tatarica,MAMMALIA,decreasing,Mongolia: 46.86250 103.84666
"Asiatic Wild Dog, Dhole, Indian Wild Dog, Red Dog",EN,5953,Cuon alpinus,MAMMALIA,decreasing,Mongolia: 46.86250 103.84666
"Asian Wild Ass, Asiatic Wild Ass, Kulan",EN,7951,Equus hemionus,MAMMALIA,decreasing,Mongolia: 46.86250 103.84666
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Mongolia: 46.86250 103.84666
"Japanese Crane, Manchurian Crane, Red-crowned Crane",EN,106002798,Grus japonensis,AVES,decreasing,Mongolia: 46.86250 103.84666
"Mongolian Marmot, Siberian Marmot, Tarbagan Marmot",EN,12832,Marmota sibirica,MAMMALIA,decreasing,Mongolia: 46.86250 103.84666
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Mongolia: 46.86250 103.84666
"Ounce, Snow Leopard",EN,22732,Panthera uncia,MAMMALIA,decreasing,Mongolia: 46.86250 103.84666
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,Montenegro: 42.70868 19.37439
"Lesser Blind Mole Rat, Lesser Mole Rat",DD,14328,Spalax leucodon,MAMMALIA,decreasing,Montenegro: 42.70868 19.37439
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Montenegro: 42.70868 19.37439
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Montenegro: 42.70868 19.37439
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Montenegro: 42.70868 19.37439
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Montenegro: 42.70868 19.37439
Albanian Water Frog,EN,58715,Pelophylax shqipericus,AMPHIBIA,decreasing,Montenegro: 42.70868 19.37439
"Giant Ditch Frog, Mountain Chicken",CR,57125,Leptodactylus fallax,AMPHIBIA,decreasing,Montserrat: 16.74250 -62.18737
"Bald Ibis, Hermit Ibis, Northern Bald Ibis, Waldrapp",CR,106003791,Geronticus eremita,AVES,decreasing,Morocco: 31.79170 -7.09262
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,Morocco: 31.79170 -7.09262
Balearic Shearwater,CR,160030026,Puffinus mauretanicus,AVES,decreasing,Morocco: 31.79170 -7.09262
"Cuvier's Gazelle, Edmi",EN,8967,Gazella cuvieri,MAMMALIA,unknown,Morocco: 31.79170 -7.09262
"Barbary Ape, Barbary Macaque",EN,12561,Macaca sylvanus,MAMMALIA,decreasing,Morocco: 31.79170 -7.09262
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Morocco: 31.79170 -7.09262
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Morocco: 31.79170 -7.09262
"Black Rhinoceros, Hook-lipped Rhinoceros",CR,6557,Diceros bicornis,MAMMALIA,increasing,Mozambique: -18.66569 35.52956
"Madagascar Pond-heron, Madagascar Pond-Heron, Madagascar Squacco Heron, Malagasy Pond Heron",EN,106003735,Ardeola idae,AVES,decreasing,Mozambique: -18.66569 35.52956
"Grey Crowned-crane, Grey Crowned Crane, Grey Crowned-Crane, Southern Crowned Crane",EN,106002785,Balearica regulorum,AVES,decreasing,Mozambique: -18.66569 35.52956
White-backed Vulture,EN,106003373,Gyps africanus,AVES,decreasing,Mozambique: -18.66569 35.52956
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Mozambique: -18.66569 35.52956
Hooded Vulture,EN,106003372,Necrosyrtes monachus,AVES,decreasing,Mozambique: -18.66569 35.52956
Vincent's Bush Squirrel,EN,16212,Paraxerus vincenti,MAMMALIA,decreasing,Mozambique: -18.66569 35.52956
"African Penguin, Black-footed Penguin, Jackass Penguin",EN,106003861,Spheniscus demersus,AVES,decreasing,Mozambique: -18.66569 35.52956
"Atlantic Yellow-nosed Albatross, Yellow-nosed Albatross",EN,106003965,Thalassarche chlororhynchos,AVES,decreasing,Mozambique: -18.66569 35.52956
"Black Rhinoceros, Hook-lipped Rhinoceros",CR,6557,Diceros bicornis,MAMMALIA,increasing,Namibia: -22.95764 18.49041
Tristan Albatross,CR,160030013,Diomedea dabbenena,AVES,decreasing,Namibia: -22.95764 18.49041
Katambora Orange,DD,63211,Ceriagrion katamborae,INSECTA,unknown,Namibia: -22.95764 18.49041
"Grey Crowned-crane, Grey Crowned Crane, Grey Crowned-Crane, Southern Crowned Crane",EN,106002785,Balearica regulorum,AVES,decreasing,Namibia: -22.95764 18.49041
White-backed Vulture,EN,106003373,Gyps africanus,AVES,decreasing,Namibia: -22.95764 18.49041
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Namibia: -22.95764 18.49041
Hooded Vulture,EN,106003372,Necrosyrtes monachus,AVES,decreasing,Namibia: -22.95764 18.49041
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Namibia: -22.95764 18.49041
Ludwig's Bustard,EN,106002762,Neotis ludwigii,AVES,decreasing,Namibia: -22.95764 18.49041
Atlantic Petrel,EN,106003909,Pterodroma incerta,AVES,decreasing,Namibia: -22.95764 18.49041
"African Penguin, Black-footed Penguin, Jackass Penguin",EN,106003861,Spheniscus demersus,AVES,decreasing,Namibia: -22.95764 18.49041
"Atlantic Yellow-nosed Albatross, Yellow-nosed Albatross",EN,106003965,Thalassarche chlororhynchos,AVES,decreasing,Namibia: -22.95764 18.49041
"Asian White-backed Vulture, Oriental White-backed Vulture, White-backed Vulture, White-rumped Vulture",CR,106003374,Gyps bengalensis,AVES,decreasing,Nepal: 28.39486 84.12401
Slender-billed Vulture,CR,160030234,Gyps tenuirostris,AVES,decreasing,Nepal: 28.39486 84.12401
"Bengal Bustard, Bengal Florican",CR,106002782,Houbaropsis bengalensis,AVES,decreasing,Nepal: 28.39486 84.12401
"Indian Black Vulture, Pondicherry Vulture, Red-headed Vulture",CR,106003383,Sarcogyps calvus,AVES,decreasing,Nepal: 28.39486 84.12401
Hairy-footed Flying Squirrel,DD,2756,Belomys pearsonii,MAMMALIA,unknown,Nepal: 28.39486 84.12401
"Himalayan Field Mouse, Himalayan Wood Mouse",EN,1894,Apodemus gurkha,MAMMALIA,decreasing,Nepal: 28.39486 84.12401
"Hog Deer, Indochinese Hog Deer, Thai Hog Deer",EN,41784,Axis porcinus,MAMMALIA,decreasing,Nepal: 28.39486 84.12401
"Asian Buffalo, Asiatic Buffalo, Indian Buffalo, Indian Water Buffalo, Water Buffalo, Wild Asian Buffalo, Wild Water Buffalo",EN,3129,Bubalus arnee,MAMMALIA,decreasing,Nepal: 28.39486 84.12401
"Assam Rabbit, Hispid Hare",EN,3833,Caprolagus hispidus,MAMMALIA,decreasing,Nepal: 28.39486 84.12401
"Asiatic Wild Dog, Dhole, Indian Wild Dog, Red Dog",EN,5953,Cuon alpinus,MAMMALIA,decreasing,Nepal: 28.39486 84.12401
"Asian Elephant, Indian Elephant",EN,7140,Elephas maximus,MAMMALIA,decreasing,Nepal: 28.39486 84.12401
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Nepal: 28.39486 84.12401
Greater Adjutant,EN,106003842,Leptoptilos dubius,AVES,decreasing,Nepal: 28.39486 84.12401
