Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Regionally Extinct
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,The Gambia: 13.44318 -15.31014
European Mink,CR,14018,Mustela lutreola,MAMMALIA,decreasing,The Netherlands: 52.13263 5.29127
Phoenix Petrel,EN,106003893,Pterodroma alba,AVES,decreasing,Tonga: -21.17899 -175.19824
"Addra Gazelle, Dama Gazelle",CR,8968,Nanger dama,MAMMALIA,decreasing,Tunisia: 33.88692 9.53750
"Barbary Ape, Barbary Macaque",EN,12561,Macaca sylvanus,MAMMALIA,decreasing,Tunisia: 33.88692 9.53750
Tiger,EN,15955,Panthera tigris,MAMMALIA,decreasing,Turkey: 38.96375 35.24332
"Mesopotamian Fallow Deer, Persian Fallow Deer",EN,6232,Dama mesopotamica,MAMMALIA,increasing,Turkey: 38.96375 35.24332
"Asian Wild Ass, Asiatic Wild Ass, Kulan",EN,7951,Equus hemionus,MAMMALIA,decreasing,Turkey: 38.96375 35.24332
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Turkmenistan: 38.96972 59.55628
Tiger,EN,15955,Panthera tigris,MAMMALIA,decreasing,Turkmenistan: 38.96972 59.55628
"Mongolian Saiga, Saiga, Saiga Antelope",CR,19832,Saiga tatarica,MAMMALIA,decreasing,Ukraine: 48.37943 31.16558
"Asian Wild Horse, Mongolian Wild Horse, Przewalski's Horse",EN,41763,Equus ferus,MAMMALIA,increasing,Ukraine: 48.37943 31.16558
Eskimo Curlew,CR,106003008,Numenius borealis,AVES,unknown,Uruguay: -32.52278 -55.76584
Tiger,EN,15955,Panthera tigris,MAMMALIA,decreasing,Uzbekistan: 41.37749 64.58526
"Polynesian Storm Petrel, Polynesian Storm-Petrel, White-throated Storm-petrel, White-throated Storm Petrel",EN,106003975,Nesofregetta fuliginosa,AVES,decreasing,Vanuatu: -15.37671 166.95916
"Andean Tapir, Mountain Tapir, Woolly Tapir",EN,21473,Tapirus pinchaque,MAMMALIA,decreasing,Venezuela: 6.42375 -66.58973
"Black Ibis, White-shouldered Ibis",CR,106003799,Pseudibis davisoni,AVES,decreasing,Vietnam: 14.05832 108.27720
Sumatran Rhinoceros,CR,6553,Dicerorhinus sumatrensis,MAMMALIA,decreasing,Vietnam: 14.05832 108.27720
"Mesopotamian Fallow Deer, Persian Fallow Deer",EN,6232,Dama mesopotamica,MAMMALIA,increasing,West Bank: 31.94657 35.30272
Addax,CR,512,Addax nasomaculatus,MAMMALIA,decreasing,Western Sahara: 24.21553 -12.88583
