Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native,Native Lat,Native Long,Possibly Extinct,Possibly Extinct Lat,Poss Extinct Long,Regionally Extinct,Regionally Extinct Lat,Region Extinct Long,Reintroduced,Reintroduced Lat,Reintroduced Long,Introduced,Introduced Lat,Intro Long,Vagrant,Vagrant Lat,Vagrant Long,Present origin uncertain,Present origin uncertain Lat,Present orig uncertain Long
"Siberian Crane, Siberian White Crane, Snow Crane",CR,106002786,Leucogeranus leucogeranus,AVES,decreasing,Azerbaijan,40.14310,47.57693,,,,,,,,,,,,,,,,,,
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,Azerbaijan,40.14310,47.57693,,,,,,,,,,,,,,,,,,
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Azerbaijan,40.14310,47.57693,,,,,,,,,,,,,,,,,,
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Azerbaijan,40.14310,47.57693,,,,,,,,,,,,,,,,,,
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Azerbaijan,40.14310,47.57693,,,,,,,,,,,,,,,,,,
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Azerbaijan,40.14310,47.57693,,,,,,,,,,,,,,,,,,
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Azerbaijan,40.14310,47.57693,,,,,,,,,,,,,,,,,,
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Bahrain,26.06670,50.55770,,,,,,,,,,,,,,,,,,
"Spoon-billed Sandpiper, Spoonbill Sandpiper",CR,106003060,Eurynorhynchus pygmeus,AVES,decreasing,Bangladesh,23.68499,90.35633,,,,,,,,,,,,,,,,,,
Slender-billed Vulture,CR,160030234,Gyps tenuirostris,AVES,decreasing,Bangladesh,23.68499,90.35633,,,,,,,,,,,,,,,,,,
"Indian Black Vulture, Pondicherry Vulture, Red-headed Vulture",CR,106003383,Sarcogyps calvus,AVES,decreasing,Bangladesh,23.68499,90.35633,,,,,,,,,,,,,,,,,,
"White-winged Duck, White-winged Wood Duck",EN,100600410,Cairina scutulata,AVES,decreasing,Bangladesh,23.68499,90.35633,,,,,,,,,,,,,,,,,,
"Asian Finfoot, Masked Finfoot",EN,106002801,Heliopais personatus,AVES,decreasing,Bangladesh,23.68499,90.35633,,,,,,,,,,,,,,,,,,
Greater Adjutant,EN,106003842,Leptoptilos dubius,AVES,decreasing,Bangladesh,23.68499,90.35633,,,,,,,,,,,,,,,,,,
Black-bellied Tern,EN,106003284,Sterna acuticauda,AVES,decreasing,Bangladesh,23.68499,90.35633,,,,,,,,,,,,,,,,,,
"Nordmann's Greenshank,  Spotted Greenshank",EN,106003020,Tringa guttifer,AVES,decreasing,Bangladesh,23.68499,90.35633,,,,,,,,,,,,,,,,,,
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Belarus,53.70981,27.95339,,,,,,,,,,,,,,,,,,
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Belgium,50.50389,4.46994,,,,,,,,,,,,,,,,,,
"Yellow-headed Amazon, Yellow-headed Parrot",EN,106001679,Amazona oratrix,AVES,decreasing,Belize,17.18988,-88.49765,,,,,,,,,,,,,,,,,,
White-backed Vulture,EN,106003373,Gyps africanus,AVES,decreasing,Benin,9.30769,2.31583,,,,,,,,,,,,,,,,,,
"Rueppell's Griffon, Rueppell's Vulture,  Ruppell's Vulture",EN,106003376,Gyps rueppellii,AVES,decreasing,Benin,9.30769,2.31583,,,,,,,,,,,,,,,,,,
Hooded Vulture,EN,106003372,Necrosyrtes monachus,AVES,decreasing,Benin,9.30769,2.31583,,,,,,,,,,,,,,,,,,
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Benin,9.30769,2.31583,,,,,,,,,,,,,,,,,,
"Imperial Heron, White-bellied Heron",CR,106003723,Ardea insignis,AVES,decreasing,Bhutan,27.51416,90.43360,,,,,,,,,,,,,,,,,,
"Asian White-backed Vulture, Oriental White-backed Vulture, White-backed Vulture, White-rumped Vulture",CR,106003374,Gyps bengalensis,AVES,decreasing,Bhutan,27.51416,90.43360,,,,,,,,,,,,,,,,,,
Hyacinth Macaw,EN,106001543,Anodorhynchus hyacinthinus,AVES,decreasing,Bolivia,-16.29015,-63.58865,,,,,,,,,,,,,,,,,,
Red-fronted Macaw,EN,106001553,Ara rubrogenys,AVES,decreasing,Bolivia,-16.29015,-63.58865,,,,,,,,,,,,,,,,,,
"Cochabamba Mountain-finch, Cochabamba Mountain-Finch",EN,106009500,Compsospiza garleppi,AVES,decreasing,Bolivia,-16.29015,-63.58865,,,,,,,,,,,,,,,,,,
Wattled Curassow,EN,100600107,Crax globulosa,AVES,decreasing,Bolivia,-16.29015,-63.58865,,,,,,,,,,,,,,,,,,
"Crowned Eagle, Crowned Solitary Eagle",EN,106003496,Harpyhaliaetus coronatus,AVES,decreasing,Bolivia,-16.29015,-63.58865,,,,,,,,,,,,,,,,,,
"Horned Curassow, Southern Helmeted Curassow",EN,100600102,Pauxi unicornis,AVES,decreasing,Bolivia,-16.29015,-63.58865,,,,,,,,,,,,,,,,,,
Dark-winged Trumpeter,EN,106002805,Psophia viridis,AVES,decreasing,Bolivia,-16.29015,-63.58865,,,,,,,,,,,,,,,,,,
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Bosnia and Herzegovina,43.91589,17.67908,,,,,,,,,,,,,,,,,,
"Grey Crowned-crane, Grey Crowned Crane, Grey Crowned-Crane, Southern Crowned Crane",EN,106002785,Balearica regulorum,AVES,decreasing,Botswana,-22.32847,24.68487,,,,,,,,,,,,,,,,,,
