Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native,Native Lat,Native Long,Possibly Extinct,Possibly Extinct Lat,Poss Extinct Long,Regionally Extinct,Regionally Extinct Lat,Region Extinct Long,Reintroduced,Reintroduced Lat,Reintroduced Long,Introduced,Introduced Lat,Intro Long,Vagrant,Vagrant Lat,Vagrant Long,Present origin uncertain,Present origin uncertain Lat,Present orig uncertain Long
Bannerman's Turaco,EN,57350,Telmatobius mayoloi,AMPHIBIA,decreasing,Peru,-9.18997,-75.01515,,,,,,,,,,,,,,,,,,
blank,CR,55830,Phytotriades auratus,AMPHIBIA,decreasing,Trinidad and Tobago,10.69180,-61.22250,,,,,,,,,,,,,,,,,,
blank,CR,61915,Lyciasalamandra billae,AMPHIBIA,decreasing,Turkey,38.96375,35.24332,,,,,,,,,,,,,,,,,,
Taurus Frog,CR,136089,Rana holtzi,AMPHIBIA,decreasing,Turkey,38.96375,35.24332,,,,,,,,,,,,,,,,,,
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,61913,Lyciasalamandra antalyana,AMPHIBIA,decreasing,Turkey,38.96375,35.24332,,,,,,,,,,,,,,,,,,
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,61917,Lyciasalamandra flavimembris,AMPHIBIA,decreasing,Turkey,38.96375,35.24332,,,,,,,,,,,,,,,,,,
Red Hills Salamander,EN,16801,Phaeognathus hubrichti,AMPHIBIA,decreasing,United States of America,37.09024,-95.71289,,,,,,,,,,,,,,,,,,
Rancho Grande Harlequin Frog,CR,54502,Atelopus cruciger,AMPHIBIA,decreasing,Venezuela,6.42375,-66.58973,,,,,,,,,,,,,,,,,,
"Little Earth Hutia, San Felipe Hutia",CR,55202,Minyobates steyermarki,AMPHIBIA,decreasing,Venezuela,6.42375,-66.58973,,,,,,,,,,,,,,,,,,
"Rosette-nosed Chameleon, Rosette-nosed Pygmy Chameleon",EN,54757,Rhinella sclerocephala,AMPHIBIA,decreasing,Venezuela,6.42375,-66.58973,,,,,,,,,,,,,,,,,,
"Chapman's Prehensile-tailed Hutia, Chapman's Prehensile Tailed Hutia, Gundlach's Hutia",EN,58445,Nanorana yunnanensis,AMPHIBIA,decreasing,Vietnam,14.05832,108.27720,,,,,,,,,,,,,,,,,,
blank,CR,54549,Atelopus senex,AMPHIBIA,decreasing,,,,Costa Rica,9.74892,-83.75343,,,,,,,,,,,,,,,
Siau Island Tarsier,CR,57331,Telmatobius cirrhacelis,AMPHIBIA,decreasing,,,,Ecuador,-1.83124,-78.18341,,,,,,,,,,,,,,,
Siau Island Tarsier,CR,57352,Telmatobius niger,AMPHIBIA,decreasing,,,,Ecuador,-1.83124,-78.18341,,,,,,,,,,,,,,,
Siau Island Tarsier,CR,57366,Telmatobius vellardi,AMPHIBIA,decreasing,,,,Ecuador,-1.83124,-78.18341,,,,,,,,,,,,,,,
"Giant Ditch Frog, Mountain Chicken",CR,57125,Leptodactylus fallax,AMPHIBIA,decreasing,,,,,,,Guadeloupe,16.26500,-61.55100,,,,,,,,,,,,
"Giant Ditch Frog, Mountain Chicken",CR,57125,Leptodactylus fallax,AMPHIBIA,decreasing,,,,,,,Martinique,14.64153,-61.02417,,,,,,,,,,,,
"Giant Ditch Frog, Mountain Chicken",CR,57125,Leptodactylus fallax,AMPHIBIA,decreasing,,,,,,,Saint Kitts and Nevis,17.35782,-62.78300,,,,,,,,,,,,
Anderson's Crocodile Newt,EN,59446,Echinotriton andersoni,AMPHIBIA,decreasing,,,,,,,Taiwan,23.69781,120.96052,,,,,,,,,,,,
"Green-cheeked Amazon, Red-crowned Amazon, Red-crowned Parrot",EN,59049,Ambystoma altamirani,AMPHIBIA,decreasing,,,,,,,,,,,,,United States of America,37.09024,-95.71289,,,,,,
