Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native,Native Lat,Native Long,Possibly Extinct,Possibly Extinct Lat,Poss Extinct Long,Regionally Extinct,Regionally Extinct Lat,Region Extinct Long,Reintroduced,Reintroduced Lat,Reintroduced Long,Introduced,Introduced Lat,Intro Long,Vagrant,Vagrant Lat,Vagrant Long,Present origin uncertain,Present origin uncertain Lat,Present orig uncertain Long
"Beni Titi Monkey,  Olalla's Titi,  Ollala Brothers' Titi",EN,3554,Callicebus olallae,MAMMALIA,decreasing,Bolivia,-16.29015,-63.58865,,,,,,,,,,,,,,,,,,
"Chacoan Peccary, Tagua",EN,4015,Catagonus wagneri,MAMMALIA,decreasing,Bolivia,-16.29015,-63.58865,,,,,,,,,,,,,,,,,,
"Geoffroy'S/peruvian Woolly Monkey, Geoffroy's Woolly Monkey",EN,39925,Lagothrix cana,MAMMALIA,decreasing,Bolivia,-16.29015,-63.58865,,,,,,,,,,,,,,,,,,
"Andean Cat, Andean Mountain Cat, Mountain Cat",EN,15452,Leopardus jacobita,MAMMALIA,decreasing,Bolivia,-16.29015,-63.58865,,,,,,,,,,,,,,,,,,
"Giant Brazilian Otter, Giant Otter",EN,18711,Pteronura brasiliensis,MAMMALIA,decreasing,Bolivia,-16.29015,-63.58865,,,,,,,,,,,,,,,,,,
"Lesser Blind Mole Rat, Lesser Mole Rat",DD,14328,Spalax leucodon,MAMMALIA,decreasing,Bosnia and Herzegovina,43.91589,17.67908,,,,,,,,,,,,,,,,,,
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Botswana,-22.32847,24.68487,,,,,,,,,,,,,,,,,,
Northern Muriqui,CR,2994,Brachyteles hypoxanthus,MAMMALIA,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
blank,CR,136520,Cavia intermedia,MAMMALIA,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"Blonde Capuchin, Marcgrave's Capuchin Monkey",CR,136253,Cebus flavius,MAMMALIA,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
Ka'Apor Capuchin,CR,40019,Cebus kaapori,MAMMALIA,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"Buff-headed Capuchin, Yellow-breasted Capuchin",CR,4074,Cebus xanthosternos,MAMMALIA,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"Bearded Saki, Black Bearded Saki, Black Saki, Brown-bearded Saki",CR,39956,Chiropotes satanas,MAMMALIA,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
Black-faced Lion Tamarin,CR,11503,Leontopithecus caissara,MAMMALIA,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
Azara's Agouti,DD,6278,Dasyprocta azarae,MAMMALIA,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"La Plata Otter, Long-tailed Otter, Neotropical Otter, Neotropical River Otter, South American River Otter",DD,12304,Lontra longicaudis,MAMMALIA,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
Red-handed Howling Monkey,EN,918,Alouatta ululata,MAMMALIA,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"Long-haired Spider Monkey, White-bellied Spider Monkey",EN,2276,Ateles belzebuth,MAMMALIA,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"Black-faced Black Spider Monkey, Chamek Spider Monkey, Peruvian Black Spider Monkey",EN,41547,Ateles chamek,MAMMALIA,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"White-cheeked Spider Monkey, White-whiskered Spider Monkey",EN,2282,Ateles marginatus,MAMMALIA,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"Muriqui, Southern Muriqui, Woolly Spider Monkey",EN,2993,Brachyteles arachnoides,MAMMALIA,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"Painted Tree-rat, Painted Tree Rat",EN,6985,Callistomys pictus,MAMMALIA,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"Crested Capuchin, Robust Tufted Capuchin",EN,42697,Cebus robustus,MAMMALIA,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"Red-nosed Bearded Saki, Red-nosed Saki, White-nosed Bearded Saki, White-nosed Saki",EN,4685,Chiropotes albinasus,MAMMALIA,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
Uta Hick's Bearded Saki,EN,43892,Chiropotes utahickae,MAMMALIA,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"Geoffroy'S/peruvian Woolly Monkey, Geoffroy's Woolly Monkey",EN,39925,Lagothrix cana,MAMMALIA,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"Giant Brazilian Otter, Giant Otter",EN,18711,Pteronura brasiliensis,MAMMALIA,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"Bornean Gibbon, Bornean Grey Gibbon, Borneo Gibbon, Grey Gibbon",EN,10551,Hylobates muelleri,MAMMALIA,decreasing,Brunei Darussalam,4.53528,114.72767,,,,,,,,,,,,,,,,,,
"Malayan Pangolin, Sunda Pangolin",EN,12763,Manis javanica,MAMMALIA,decreasing,Brunei Darussalam,4.53528,114.72767,,,,,,,,,,,,,,,,,,
"Long-nosed Monkey, Proboscis Monkey",EN,14352,Nasalis larvatus,MAMMALIA,decreasing,Brunei Darussalam,4.53528,114.72767,,,,,,,,,,,,,,,,,,
Flat-headed Cat,EN,18148,Prionailurus planiceps,MAMMALIA,decreasing,Brunei Darussalam,4.53528,114.72767,,,,,,,,,,,,,,,,,,
"Lesser Blind Mole Rat, Lesser Mole Rat",DD,14328,Spalax leucodon,MAMMALIA,decreasing,Bulgaria,42.73388,25.48583,,,,,,,,,,,,,,,,,,
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Burkina Faso,12.23833,-1.56159,,,,,,,,,,,,,,,,,,
"Burmese Snub-nosed Monkey, Myanmar Snub-nosed Monkey",CR,13508501,Rhinopithecus strykeri,MAMMALIA,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
Gongshan Muntjac,DD,13926,Muntiacus gongshanensis,MAMMALIA,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
"Leaf Deer, Leaf Muntjac",DD,136479,Muntiacus putaoensis,MAMMALIA,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
"Barbe's Langur,  Tenasserim Lutung",DD,41554,Trachypithecus barbei,MAMMALIA,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
